150
1	598	44
2	690	185
3	288	680
4	289	976
5	245	26
6	323	793
7	359	939
8	324	803
9	848	397
10	494	312
11	174	923
12	975	81
13	980	714
14	252	311
15	941	509
16	271	647
17	551	539
18	937	960
19	655	557
20	582	944
21	737	899
22	839	623
23	145	815
24	930	881
25	911	992
26	634	424
27	224	86
28	518	609
29	920	922
30	431	488
31	854	580
32	837	701
33	381	405
34	961	493
35	437	754
36	654	262
37	884	892
38	426	212
39	93	29
40	21	357
41	499	723
42	808	654
43	982	441
44	364	45
45	251	621
46	201	513
47	933	105
48	228	38
49	530	314
50	68	907
51	169	685
52	577	440
53	651	53
54	799	4
55	79	463
56	186	819
57	193	296
58	737	712
59	475	893
60	514	101
61	332	725
62	549	714
63	751	265
64	578	495
65	403	999
66	684	365
67	804	571
68	343	979
69	982	175
70	356	142
71	680	779
72	76	260
73	971	591
74	484	812
75	631	165
76	608	997
77	430	962
78	946	875
79	371	899
80	898	524
81	607	773
82	63	301
83	280	131
84	24	405
85	266	263
86	760	379
87	638	664
88	973	835
89	366	328
90	211	457
91	173	715
92	397	818
93	413	602
94	501	343
95	585	783
96	275	118
97	418	193
98	323	337
99	461	697
100	678	346
101	443	445
102	827	439
103	274	799
104	127	800
105	975	359
106	74	337
107	873	148
108	468	470
109	812	286
110	787	687
111	804	117
112	309	62
113	118	222
114	918	350
115	414	297
116	460	316
117	754	575
118	374	287
119	805	746
120	105	500
121	555	780
122	646	897
123	367	147
124	433	114
125	800	898
126	15	938
127	1	323
128	544	42
129	110	836
130	851	181
131	496	242
132	816	311
133	316	968
134	715	190
135	408	121
136	619	538
137	435	681
138	827	265
139	97	521
140	138	978
141	917	896
142	219	870
143	630	636
144	191	481
145	380	739
146	980	42
147	352	876
148	563	796
149	704	386
150	506	996
77498
